epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8688,1.26999,1.5634,1.57282,0.5205,0.58596,0.58614,0.27527,1.54537,4.78812,2.02989,0.00041441,0.00041441,0.00041441
2,57.2307,1.38147,1.28332,1.64041,0.29091,0.33155,0.20402,0.08678,2.41465,4.4399,4.02584,0.000834763,0.000834763,0.000834763
3,84.6275,1.44529,1.47607,1.64265,0.37373,0.36631,0.33201,0.11315,2.09158,2.61503,3.09344,0.00124663,0.00124663,0.00124663
4,112.048,1.47408,1.58568,1.70965,0.55581,0.25758,0.21134,0.07163,2.50838,3.65029,3.73918,0.00138656,0.00138656,0.00138656
5,140.235,1.56218,1.62253,1.80626,0.33067,0.32264,0.08136,0.026,2.48793,5.09511,3.45811,0.00137241,0.00137241,0.00137241
6,167.884,1.65339,1.74583,1.81294,0.13131,0.23861,0.111,0.05133,2.58728,4.19574,3.00147,0.00135826,0.00135826,0.00135826
7,195.046,1.55338,1.59631,1.72767,0.12141,0.08913,0.04497,0.02486,2.89745,20.0135,4.31901,0.00134412,0.00134412,0.00134412
8,222.558,1.45381,1.44487,1.67825,0.33527,0.38146,0.3097,0.13418,2.17128,2.50113,2.52877,0.00132997,0.00132997,0.00132997
9,250.023,1.48405,1.44923,1.66747,0.33389,0.35573,0.30884,0.12465,2.43689,3.03879,3.13243,0.00131582,0.00131582,0.00131582
10,277.278,1.41358,1.41575,1.65451,0.40233,0.64617,0.52565,0.25113,1.78666,2.07016,2.29781,0.00130168,0.00130168,0.00130168
11,304.62,1.3991,1.47106,1.62831,0.34368,0.50977,0.37945,0.15562,1.8537,2.55644,2.41199,0.00128753,0.00128753,0.00128753
12,331.894,1.3939,1.42843,1.62434,0.63488,0.63565,0.6685,0.38957,1.57514,1.56898,2.01788,0.00127338,0.00127338,0.00127338
13,359.45,1.37639,1.42861,1.60127,0.39915,0.55838,0.47693,0.22013,1.71011,1.86593,1.99136,0.00125923,0.00125923,0.00125923
14,386.979,1.34732,1.37586,1.57491,0.56323,0.62293,0.57527,0.30788,1.58852,1.45171,1.96842,0.00124509,0.00124509,0.00124509
15,414.101,1.36373,1.35782,1.57543,0.65501,0.60695,0.60656,0.33149,1.61298,1.44077,2.02597,0.00123094,0.00123094,0.00123094
16,441.468,1.35617,1.30481,1.57807,0.70909,0.68252,0.76979,0.42213,1.51513,1.27369,1.92133,0.00121679,0.00121679,0.00121679
17,469.454,1.26678,1.26346,1.51571,0.56379,0.58377,0.58233,0.30131,1.61623,1.82331,2.00405,0.00120265,0.00120265,0.00120265
18,497.019,1.22372,1.2552,1.48899,0.57876,0.61141,0.5646,0.34597,1.4312,1.51652,1.89175,0.0011885,0.0011885,0.0011885
19,524.513,1.30921,1.23139,1.55488,0.77947,0.68189,0.75176,0.41542,1.43598,1.50782,1.88118,0.00117435,0.00117435,0.00117435
20,552.114,1.30688,1.18027,1.53623,0.62706,0.7596,0.70531,0.36286,1.66606,1.34441,2.08063,0.00116021,0.00116021,0.00116021
21,579.991,1.36187,1.21562,1.57507,0.74533,0.72193,0.75049,0.40344,1.62226,1.24333,1.9572,0.00114606,0.00114606,0.00114606
22,607.812,1.22883,1.12055,1.44015,0.66532,0.67647,0.71381,0.40613,1.51634,1.36653,1.82832,0.00113191,0.00113191,0.00113191
23,635.133,1.20344,1.10356,1.46302,0.71815,0.73975,0.75252,0.43448,1.39679,1.33981,1.72964,0.00111776,0.00111776,0.00111776
24,662.621,1.22262,1.124,1.50175,0.74365,0.5754,0.69372,0.40465,1.55158,1.47242,1.80428,0.00110362,0.00110362,0.00110362
25,690.107,1.20201,1.11785,1.43087,0.88021,0.62784,0.76947,0.42813,1.5409,1.2867,1.84802,0.00108947,0.00108947,0.00108947
26,717.338,1.19595,1.12942,1.45408,0.89909,0.73708,0.85318,0.47006,1.6019,1.10713,1.97275,0.00107532,0.00107532,0.00107532
27,745.027,1.19831,1.1184,1.4647,0.57467,0.70082,0.61787,0.34572,1.56573,1.89906,1.95497,0.00106118,0.00106118,0.00106118
28,772.686,1.16589,1.07797,1.43711,0.68829,0.67493,0.68693,0.40956,1.64078,1.20771,2.07802,0.00104703,0.00104703,0.00104703
29,800.206,1.08707,0.98531,1.3528,0.73345,0.72499,0.72715,0.38428,1.66925,1.07524,2.15329,0.00103288,0.00103288,0.00103288
30,827.722,1.13769,1.02341,1.41139,0.66533,0.74583,0.75098,0.39476,1.52098,1.23238,1.9482,0.00101873,0.00101873,0.00101873
31,854.892,1.10725,0.93147,1.38053,0.74918,0.75451,0.80952,0.45499,1.55111,1.07015,1.96981,0.00100459,0.00100459,0.00100459
32,882.046,1.16175,1.08133,1.4144,0.78192,0.69962,0.79201,0.43063,1.44178,1.10914,1.88618,0.00099044,0.00099044,0.00099044
33,909.544,1.06822,0.92953,1.36877,0.82949,0.75279,0.84536,0.48202,1.43408,0.92513,1.83362,0.000976293,0.000976293,0.000976293
34,937.17,1.14537,1.00578,1.40063,0.91046,0.73721,0.8556,0.47378,1.51645,0.90503,1.97417,0.000962146,0.000962146,0.000962146
35,964.192,1.14431,0.98123,1.40716,0.61495,0.70499,0.73915,0.41732,1.5396,1.33063,1.95437,0.000947999,0.000947999,0.000947999
36,991.615,1.03919,0.90426,1.34093,0.77417,0.7544,0.76103,0.42336,1.51414,1.01466,1.87276,0.000933851,0.000933851,0.000933851
37,1019.05,1.08238,0.90143,1.35857,0.78563,0.73157,0.79021,0.4361,1.49971,0.96888,1.88143,0.000919704,0.000919704,0.000919704
38,1046.6,1.1141,1.00606,1.40258,0.64803,0.78446,0.795,0.46895,1.46258,1.0235,1.87674,0.000905557,0.000905557,0.000905557
39,1073.8,1.0343,0.87389,1.34672,0.75079,0.81376,0.82313,0.47957,1.44328,0.8879,1.84928,0.00089141,0.00089141,0.00089141
40,1101.16,1.07605,0.85836,1.35843,0.79175,0.73529,0.77208,0.41654,1.61978,1.04257,2.00577,0.000877263,0.000877263,0.000877263
41,1128.37,1.05929,0.84985,1.35517,0.82187,0.72586,0.76347,0.44331,1.51921,1.116,1.93177,0.000863116,0.000863116,0.000863116
42,1155.83,1.05476,0.86864,1.34545,0.7994,0.78584,0.79175,0.47891,1.45994,0.95147,1.85747,0.000848969,0.000848969,0.000848969
43,1183.05,1.05434,0.87764,1.34443,0.79233,0.63331,0.7295,0.45304,1.40261,1.0505,1.86288,0.000834822,0.000834822,0.000834822
44,1210.56,1.03018,0.86325,1.32749,0.75001,0.72578,0.78493,0.44358,1.60215,1.0891,1.98777,0.000820675,0.000820675,0.000820675
45,1238.35,0.99368,0.79108,1.29756,0.84708,0.71085,0.82427,0.46768,1.47565,0.92386,1.8767,0.000806528,0.000806528,0.000806528
46,1265.72,0.98907,0.78996,1.31095,0.7251,0.80124,0.78889,0.46993,1.38067,0.9648,1.75132,0.00079238,0.00079238,0.00079238
47,1293.04,0.97343,0.78861,1.27349,0.81013,0.7401,0.81017,0.44895,1.4785,0.97671,1.81085,0.000778233,0.000778233,0.000778233
48,1320.64,0.99816,0.79927,1.29353,0.76831,0.6889,0.75552,0.41822,1.54245,0.99717,1.86267,0.000764086,0.000764086,0.000764086
49,1347.96,0.98427,0.8285,1.27806,0.73592,0.7584,0.74521,0.41412,1.52401,1.06106,1.83055,0.000749939,0.000749939,0.000749939
50,1375.22,0.91778,0.72256,1.24473,0.84986,0.70035,0.79709,0.47481,1.36297,1.04046,1.74981,0.000735792,0.000735792,0.000735792
51,1402.64,0.94493,0.73373,1.2644,0.87161,0.73169,0.85089,0.49242,1.42148,0.88523,1.80914,0.000721645,0.000721645,0.000721645
52,1430.26,0.96121,0.74256,1.28412,0.78451,0.78075,0.8362,0.49122,1.49413,0.89969,1.84722,0.000707498,0.000707498,0.000707498
53,1457.62,0.98045,0.77952,1.28794,0.76365,0.66714,0.75227,0.45461,1.51631,1.02233,1.89632,0.000693351,0.000693351,0.000693351
54,1485.19,0.8775,0.69942,1.20524,0.76286,0.77367,0.81882,0.47496,1.50765,0.91117,1.89083,0.000679204,0.000679204,0.000679204
55,1512.28,0.88928,0.66247,1.23095,0.78269,0.83499,0.82067,0.4827,1.43552,0.84589,1.83759,0.000665057,0.000665057,0.000665057
56,1539.68,0.9194,0.71961,1.25272,0.83887,0.79144,0.82267,0.48955,1.47277,0.82935,1.91199,0.000650909,0.000650909,0.000650909
57,1567.16,0.87598,0.72341,1.22265,0.7845,0.76628,0.75492,0.44248,1.48775,0.94336,1.89877,0.000636762,0.000636762,0.000636762
58,1594.22,0.94564,0.70002,1.26308,0.83899,0.80093,0.84091,0.52216,1.37483,0.80291,1.79352,0.000622615,0.000622615,0.000622615
59,1622.13,0.87926,0.69486,1.19891,0.84051,0.8639,0.86691,0.51928,1.44187,0.8271,1.83861,0.000608468,0.000608468,0.000608468
60,1649.58,0.89563,0.69084,1.26793,0.89106,0.78216,0.80304,0.4924,1.46117,0.84731,1.81996,0.000594321,0.000594321,0.000594321
61,1677.03,0.83922,0.63271,1.19524,0.67797,0.73262,0.74094,0.38756,1.62716,1.02199,2.03151,0.000580174,0.000580174,0.000580174
62,1705.67,0.85606,0.69358,1.19727,0.80357,0.74153,0.78798,0.46756,1.42787,0.83615,1.92186,0.000566027,0.000566027,0.000566027
63,1732.95,0.83883,0.67049,1.20479,0.8405,0.7291,0.81197,0.46733,1.47936,0.7804,1.96497,0.00055188,0.00055188,0.00055188
64,1760.31,0.82817,0.63702,1.18391,0.88566,0.83377,0.82595,0.48414,1.49998,0.73325,1.97309,0.000537733,0.000537733,0.000537733
65,1787.85,0.83975,0.69634,1.20555,0.92267,0.82813,0.83537,0.4658,1.46244,0.7037,1.9974,0.000523586,0.000523586,0.000523586
66,1815.24,0.86012,0.67061,1.21413,0.74173,0.84677,0.82381,0.48753,1.54144,0.81418,1.99185,0.000509438,0.000509438,0.000509438
67,1842.47,0.82833,0.67129,1.19122,0.80241,0.78454,0.79673,0.47884,1.43755,0.84905,1.88966,0.000495291,0.000495291,0.000495291
68,1870.02,0.81515,0.60448,1.18365,0.7693,0.67699,0.72477,0.44791,1.41071,0.94429,1.82736,0.000481144,0.000481144,0.000481144
69,1897.46,0.79688,0.62444,1.16727,0.74131,0.73504,0.76739,0.46091,1.41451,0.93004,1.8483,0.000466997,0.000466997,0.000466997
70,1924.99,0.84344,0.61681,1.19923,0.81005,0.73264,0.765,0.4368,1.62538,0.89153,2.11186,0.00045285,0.00045285,0.00045285
71,1952.52,0.83721,0.61971,1.17693,0.72944,0.72545,0.72584,0.44768,1.41534,0.89703,1.94849,0.000438703,0.000438703,0.000438703
72,1979.93,0.81455,0.61819,1.19215,0.86746,0.7927,0.80153,0.4423,1.50173,0.88551,1.94104,0.000424556,0.000424556,0.000424556
73,2007.78,0.80128,0.58391,1.17031,0.82676,0.76597,0.7914,0.49746,1.39548,0.86409,1.87504,0.000410409,0.000410409,0.000410409
74,2035.26,0.80314,0.65294,1.17834,0.88119,0.72008,0.8098,0.48212,1.49909,0.88256,1.91738,0.000396262,0.000396262,0.000396262
75,2062.51,0.84093,0.63636,1.20613,0.82101,0.78699,0.82393,0.46779,1.56735,0.90305,1.96822,0.000382115,0.000382115,0.000382115
76,2089.93,0.80821,0.61466,1.16412,0.7079,0.78769,0.77326,0.49112,1.44286,0.76244,1.88486,0.000367967,0.000367967,0.000367967
77,2117.9,0.75316,0.55389,1.13346,0.76487,0.78228,0.81803,0.50482,1.41172,0.7976,1.79749,0.00035382,0.00035382,0.00035382
78,2145.38,0.78198,0.5754,1.1624,0.87853,0.72258,0.8032,0.48475,1.47932,0.80293,1.9045,0.000339673,0.000339673,0.000339673
79,2155.37,0.73689,0.54712,1.11949,0.82842,0.7866,0.81662,0.48929,1.46131,0.81175,1.89014,0.000325526,0.000325526,0.000325526
80,2161.4,0.74479,0.56953,1.14546,0.83777,0.80013,0.84021,0.48655,1.55308,0.83398,1.9697,0.000311379,0.000311379,0.000311379
81,2167.32,0.70374,0.53774,1.1079,0.79812,0.80374,0.83212,0.50833,1.36833,0.79583,1.80349,0.000297232,0.000297232,0.000297232
82,2173.89,0.73394,0.545,1.12048,0.86501,0.74499,0.8254,0.5091,1.43872,0.74294,1.91622,0.000283085,0.000283085,0.000283085
83,2180.22,0.73935,0.60732,1.11392,0.77589,0.82175,0.82305,0.47772,1.53819,0.8434,1.96179,0.000268938,0.000268938,0.000268938
84,2186.26,0.75228,0.55943,1.13594,0.74173,0.8066,0.8002,0.4762,1.45606,0.85112,1.86483,0.000254791,0.000254791,0.000254791
85,2192.83,0.63166,0.50558,1.07337,0.72798,0.8262,0.77416,0.46522,1.49688,0.90967,1.86617,0.000240644,0.000240644,0.000240644
86,2199.12,0.69027,0.53876,1.07595,0.82637,0.75362,0.78521,0.48341,1.41266,0.87909,1.82691,0.000226497,0.000226497,0.000226497
87,2205.19,0.69123,0.52947,1.09343,0.9197,0.73845,0.80234,0.48725,1.40341,0.85123,1.8684,0.000212349,0.000212349,0.000212349
88,2211.33,0.68057,0.54668,1.08715,0.85121,0.75953,0.81663,0.47964,1.46547,0.92726,1.91684,0.000198202,0.000198202,0.000198202
89,2218,0.62825,0.49309,1.06297,0.87398,0.78615,0.81719,0.48617,1.47975,0.84419,1.90055,0.000184055,0.000184055,0.000184055
90,2224.53,0.67292,0.50263,1.10773,0.79337,0.81105,0.80093,0.47702,1.50088,0.88037,1.90803,0.000169908,0.000169908,0.000169908
91,2238.24,0.58638,0.43551,1.02301,0.77135,0.82023,0.79186,0.47586,1.51697,0.89992,1.9583,0.000155761,0.000155761,0.000155761
92,2244.79,0.5982,0.45048,1.06807,0.81131,0.76738,0.77198,0.46694,1.47143,0.88103,1.91506,0.000141614,0.000141614,0.000141614
93,2250.79,0.57194,0.3971,1.04252,0.81932,0.8066,0.78103,0.46113,1.4523,0.81007,1.8851,0.000127467,0.000127467,0.000127467
94,2256.72,0.52296,0.3733,0.992,0.81712,0.8066,0.79558,0.47645,1.48436,0.78829,1.93357,0.00011332,0.00011332,0.00011332
95,2263.04,0.5276,0.34302,0.99969,0.79806,0.80234,0.79204,0.4724,1.46735,0.79845,1.94498,9.91726e-05,9.91726e-05,9.91726e-05
96,2269.37,0.52269,0.34912,1.00632,0.80425,0.76114,0.77683,0.46361,1.4577,0.82635,1.94979,8.50255e-05,8.50255e-05,8.50255e-05
97,2275.36,0.53584,0.35346,1.024,0.80849,0.76114,0.78333,0.46392,1.47427,0.8176,1.97563,7.08784e-05,7.08784e-05,7.08784e-05
98,2281.61,0.52987,0.35397,1.0173,0.80741,0.8066,0.78924,0.46671,1.48693,0.81913,1.99388,5.67313e-05,5.67313e-05,5.67313e-05
99,2287.99,0.51619,0.33779,1.00856,0.8374,0.7612,0.77453,0.46388,1.51007,0.82448,2.04136,4.25842e-05,4.25842e-05,4.25842e-05
100,2294.3,0.51021,0.33924,0.98614,0.83964,0.75129,0.7816,0.46506,1.52708,0.8075,2.06067,2.84371e-05,2.84371e-05,2.84371e-05
