epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70863,1.32882,1.52271,1.59621,0.5433,0.55077,0.50926,0.22454,1.89331,3.3188,2.46721,0.00041441,0.00041441,0.00041441
2,13.1135,1.36314,1.41305,1.61683,0.27464,0.6133,0.40354,0.17911,1.93447,3.75432,3.09623,0.000834763,0.000834763,0.000834763
3,19.2878,1.46875,1.52131,1.66417,0.33617,0.61835,0.4478,0.19495,1.95288,4.00388,2.6647,0.00124663,0.00124663,0.00124663
4,25.4205,1.58896,1.64987,1.73335,0.21865,0.07071,0.07466,0.02327,3.2171,5.23262,5.07861,0.00138656,0.00138656,0.00138656
5,31.702,1.54734,1.62935,1.71752,0.63762,0.48311,0.47437,0.20632,1.79625,2.64234,2.42665,0.00137241,0.00137241,0.00137241
6,37.8686,1.53293,1.59469,1.73335,0.69568,0.35866,0.43449,0.22209,1.94973,3.03808,2.62744,0.00135826,0.00135826,0.00135826
7,43.9691,1.4171,1.41231,1.61051,0.58869,0.64445,0.66197,0.33673,1.84668,2.40884,2.37255,0.00134412,0.00134412,0.00134412
8,50.5597,1.55382,1.6611,1.73374,0.35857,0.40105,0.40731,0.179,1.96085,3.2235,2.39339,0.00132997,0.00132997,0.00132997
9,56.6874,1.41781,1.53322,1.63702,0.65986,0.59026,0.52153,0.24608,1.92863,2.75697,2.54548,0.00131582,0.00131582,0.00131582
10,62.7388,1.45717,1.40711,1.64904,0.72746,0.47497,0.59113,0.27232,1.82339,1.97477,2.23138,0.00130168,0.00130168,0.00130168
11,69.1039,1.44867,1.48347,1.60211,0.69132,0.6059,0.60755,0.26677,1.93577,2.02508,2.32762,0.00128753,0.00128753,0.00128753
12,75.4628,1.45216,1.50342,1.65704,0.68643,0.46026,0.48926,0.21394,1.8048,2.1309,2.35144,0.00127338,0.00127338,0.00127338
13,81.7767,1.38567,1.40662,1.63796,0.67258,0.67336,0.72901,0.33598,1.77061,1.71392,2.08849,0.00125923,0.00125923,0.00125923
