epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2889,0.97358,2.33033,1.31364,0.46866,0.61128,0.56237,0.41348,1.14801,3.06162,1.60972,0.000330159,0.000330159,0.000330159
2,82.447,1.13209,2.30768,1.39023,0.36762,0.57087,0.48578,0.32509,1.276,3.89978,1.61664,0.00066333,0.00066333,0.00066333
3,121.292,1.28081,2.50043,1.46718,0.43355,0.44879,0.48023,0.28317,1.47552,4.02336,1.9202,0.000995852,0.000995852,0.000995852
4,158.197,1.37192,2.42579,1.49619,0.52253,0.46215,0.4748,0.33181,1.42315,3.71939,1.79859,0.000997803,0.000997803,0.000997803
5,195.799,1.27956,2.38531,1.43799,0.53116,0.62536,0.60433,0.39232,1.35465,2.52553,1.72547,0.000996097,0.000996097,0.000996097
6,233.707,1.33082,2.32144,1.48128,0.6403,0.55763,0.66199,0.44,1.22291,2.40392,1.5872,0.000993906,0.000993906,0.000993906
7,271.721,1.2625,2.2386,1.42396,0.6001,0.67291,0.65394,0.43541,1.19112,2.57975,1.56333,0.000991232,0.000991232,0.000991232
8,309.807,1.30439,2.30893,1.45306,0.61192,0.57893,0.62436,0.38464,1.39996,2.42004,1.72583,0.000988079,0.000988079,0.000988079
9,347.841,1.19552,2.13475,1.35618,0.64367,0.63583,0.70642,0.49434,1.10436,2.14999,1.50585,0.000984449,0.000984449,0.000984449
10,385.203,1.23616,2.08894,1.40311,0.60394,0.66496,0.71414,0.48215,1.19344,2.65207,1.58816,0.000980345,0.000980345,0.000980345
11,423.108,1.18727,1.9999,1.36173,0.7343,0.67459,0.73817,0.53858,1.09023,2.10124,1.46799,0.000975773,0.000975773,0.000975773
12,460.9,1.16009,1.96693,1.36103,0.70682,0.70392,0.7477,0.54542,1.09793,1.87356,1.4621,0.000970736,0.000970736,0.000970736
13,498.998,1.12383,1.9295,1.34025,0.71101,0.69122,0.75662,0.5748,0.9696,2.19089,1.40372,0.000965239,0.000965239,0.000965239
14,537.233,1.12089,1.93775,1.3423,0.73295,0.75665,0.79289,0.57908,1.0296,1.78399,1.45559,0.000959289,0.000959289,0.000959289
15,574.973,1.13853,1.82836,1.33133,0.79751,0.67009,0.76914,0.5558,1.07862,1.9684,1.47501,0.000952889,0.000952889,0.000952889
16,613.247,1.09963,1.83957,1.30478,0.70357,0.72364,0.78987,0.56787,1.02079,2.25245,1.43088,0.000946048,0.000946048,0.000946048
17,651.605,1.08076,1.76705,1.29804,0.79969,0.75694,0.82555,0.63186,0.9316,1.67422,1.35218,0.000938772,0.000938772,0.000938772
18,690.232,1.09432,1.85616,1.32742,0.63478,0.7641,0.79449,0.59225,0.96942,2.24901,1.37262,0.000931067,0.000931067,0.000931067
19,727.947,1.03371,1.74691,1.26153,0.70486,0.66093,0.77091,0.59603,0.96983,2.09382,1.37645,0.000922942,0.000922942,0.000922942
20,766.683,1.04473,1.62414,1.29815,0.76691,0.78001,0.83206,0.63963,0.9228,1.68413,1.33048,0.000914405,0.000914405,0.000914405
21,804.468,1.04297,1.57107,1.26682,0.79648,0.77112,0.84923,0.62778,1.06078,1.59877,1.51521,0.000905463,0.000905463,0.000905463
22,842.333,1.0521,1.57437,1.28018,0.84704,0.77512,0.86869,0.66906,0.96509,1.57996,1.40232,0.000896127,0.000896127,0.000896127
23,880.193,1.00837,1.57251,1.25803,0.85879,0.87681,0.90596,0.68745,0.97404,1.14508,1.44057,0.000886404,0.000886404,0.000886404
