epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4786,0.9146,5.72014,1.30479,0.49127,0.45676,0.41189,0.33299,0.79427,5.92885,1.19935,0.00032963,0.00032963,0.00032963
2,67.5118,1.04088,4.18329,1.38456,0.55848,0.61774,0.60005,0.41942,0.93506,4.17796,1.39012,0.000662801,0.000662801,0.000662801
3,100.092,1.08486,3.50128,1.39877,0.35561,0.51236,0.43013,0.28025,0.99347,4.90307,1.33786,0.000995323,0.000995323,0.000995323
4,131.318,1.1004,3.34479,1.39638,0.61153,0.61384,0.60419,0.38709,1.00837,4.90843,1.41449,0.000997803,0.000997803,0.000997803
5,162.941,1.09507,3.03788,1.38221,0.65727,0.67444,0.74048,0.47503,1.10602,3.11073,1.44519,0.000996097,0.000996097,0.000996097
6,195.156,1.04415,2.77345,1.34629,0.66806,0.62984,0.72437,0.48831,0.98908,2.9597,1.35633,0.000993906,0.000993906,0.000993906
7,226.916,1.08222,2.60237,1.36564,0.65778,0.65888,0.69392,0.47437,0.98485,3.05831,1.38797,0.000991232,0.000991232,0.000991232
8,258.255,1.02043,2.45528,1.34816,0.71454,0.62906,0.74321,0.51063,1.01546,2.87325,1.3901,0.000988079,0.000988079,0.000988079
9,289.618,1.03214,2.36753,1.3604,0.79579,0.73089,0.80042,0.56329,0.9639,2.39794,1.35236,0.000984449,0.000984449,0.000984449
10,322.379,1.03757,2.25642,1.30501,0.70123,0.7901,0.8038,0.56458,0.93983,2.19666,1.30613,0.000980345,0.000980345,0.000980345
11,363.249,1.02473,2.13353,1.34333,0.80361,0.75879,0.84328,0.61205,0.93951,1.90972,1.3207,0.000975773,0.000975773,0.000975773
12,396.939,0.96547,2.04093,1.27673,0.81486,0.68031,0.79518,0.57744,0.90496,2.16535,1.28679,0.000970736,0.000970736,0.000970736
