epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5464,0.90236,1.53142,1.27955,0.77426,0.66811,0.71476,0.50057,1.00812,1.59053,1.57817,0.00032963,0.00032963,0.00032963
2,63.7138,1.02832,1.40852,1.3434,0.37586,0.60179,0.45266,0.30084,1.09094,2.50582,1.58399,0.000662801,0.000662801,0.000662801
3,95.134,1.18157,1.57378,1.44948,0.57897,0.53879,0.53586,0.33857,1.22427,2.29062,1.69614,0.000995323,0.000995323,0.000995323
4,126.806,1.21882,1.63336,1.44281,0.48736,0.58751,0.56079,0.3317,1.39602,2.02965,1.72538,0.000997803,0.000997803,0.000997803
5,158.444,1.2043,1.61552,1.42399,0.3367,0.57511,0.50919,0.32857,1.14968,2.80118,1.51801,0.000996097,0.000996097,0.000996097
6,190.392,1.20313,1.56448,1.44205,0.60529,0.4318,0.43517,0.28025,1.3062,2.3078,1.6954,0.000993906,0.000993906,0.000993906
7,222.26,1.13874,1.50166,1.39073,0.67248,0.60757,0.71198,0.47558,1.07802,1.5271,1.46301,0.000991232,0.000991232,0.000991232
8,253.759,1.14958,1.41034,1.40984,0.65433,0.72235,0.76556,0.53354,1.04333,1.33277,1.41462,0.000988079,0.000988079,0.000988079
9,285.509,1.08847,1.40105,1.36287,0.68013,0.68298,0.71983,0.47897,1.07171,1.23306,1.4389,0.000984449,0.000984449,0.000984449
10,317.741,1.12198,1.36785,1.37159,0.72021,0.61457,0.72328,0.50852,1.03917,1.27068,1.46233,0.000980345,0.000980345,0.000980345
11,348.707,1.06812,1.33815,1.35783,0.63207,0.51813,0.55878,0.39616,1.05181,1.72341,1.41268,0.000975773,0.000975773,0.000975773
12,379.552,1.09177,1.34021,1.35254,0.59884,0.61944,0.63927,0.44771,1.07479,1.45513,1.46607,0.000970736,0.000970736,0.000970736
13,411.998,1.06068,1.33979,1.327,0.71843,0.61673,0.73246,0.49643,1.0208,1.28225,1.40141,0.000965239,0.000965239,0.000965239
14,443.391,1.02337,1.224,1.3152,0.77968,0.7106,0.80011,0.57059,0.96356,1.00897,1.38614,0.000959289,0.000959289,0.000959289
15,475.554,1.01237,1.19526,1.28859,0.80182,0.69758,0.81051,0.56896,1.01994,1.03063,1.37744,0.000952889,0.000952889,0.000952889
16,507.096,0.98039,1.15611,1.28034,0.72214,0.78409,0.78691,0.57334,0.96448,1.06316,1.39803,0.000946048,0.000946048,0.000946048
17,538.778,1.00054,1.14493,1.27944,0.72415,0.80876,0.81874,0.60407,0.96146,0.90434,1.36148,0.000938772,0.000938772,0.000938772
18,569.744,0.9798,1.08905,1.28159,0.74238,0.68308,0.77206,0.53334,1.04569,1.06278,1.43283,0.000931067,0.000931067,0.000931067
19,601.544,0.98183,1.157,1.2907,0.75105,0.78929,0.84274,0.62799,0.91784,0.87276,1.30058,0.000922942,0.000922942,0.000922942
20,633.475,0.96024,1.11033,1.26113,0.78386,0.73071,0.82949,0.62157,0.93308,0.89298,1.31043,0.000914405,0.000914405,0.000914405
21,666.078,0.96916,1.06691,1.27552,0.76981,0.81899,0.85478,0.59835,1.04419,0.9293,1.42765,0.000905463,0.000905463,0.000905463
22,697.338,0.9124,1.00747,1.21522,0.78227,0.7628,0.82197,0.64055,0.78502,0.92084,1.2291,0.000896127,0.000896127,0.000896127
23,728.425,0.90646,1.00433,1.23072,0.8143,0.72613,0.83851,0.64581,0.84633,0.85337,1.29143,0.000886404,0.000886404,0.000886404
24,760.554,0.90669,1.02165,1.23552,0.78404,0.73826,0.82508,0.61582,0.90131,0.91577,1.28618,0.000876305,0.000876305,0.000876305
25,792.362,0.869,1.01142,1.20716,0.64416,0.77693,0.8125,0.61074,0.848,1.16015,1.27905,0.000865839,0.000865839,0.000865839
26,824.55,0.89161,1.04886,1.2296,0.78646,0.73092,0.8311,0.64249,0.83347,0.91918,1.26926,0.000855018,0.000855018,0.000855018
27,856.158,0.88474,0.94448,1.21845,0.83813,0.74993,0.85383,0.67164,0.79885,0.79919,1.23733,0.000843851,0.000843851,0.000843851
28,887.524,0.91071,0.97566,1.23312,0.86314,0.74182,0.84852,0.65136,0.86165,0.77175,1.27986,0.000832349,0.000832349,0.000832349
29,918.891,0.90539,0.97778,1.24259,0.79457,0.78767,0.84009,0.62828,0.88342,0.80181,1.29571,0.000820525,0.000820525,0.000820525
30,950.836,0.8372,0.8815,1.19691,0.85302,0.83341,0.88308,0.69994,0.78282,0.67866,1.22639,0.000808389,0.000808389,0.000808389
31,983.331,0.84434,0.94154,1.20232,0.8472,0.75478,0.83822,0.62818,0.82338,0.91413,1.24945,0.000795954,0.000795954,0.000795954
32,1014.4,0.84518,0.88846,1.20502,0.87373,0.86656,0.90592,0.70334,0.7575,0.70293,1.20317,0.000783231,0.000783231,0.000783231
33,1046.84,0.83428,0.86102,1.18282,0.89872,0.80134,0.8817,0.69382,0.80646,0.69161,1.26599,0.000770234,0.000770234,0.000770234
34,1078.72,0.79367,0.8119,1.16825,0.847,0.78139,0.85236,0.65914,0.7819,0.80844,1.25661,0.000756976,0.000756976,0.000756976
35,1110.25,0.83174,0.8208,1.20458,0.80123,0.78716,0.86011,0.66803,0.81442,0.75675,1.24915,0.000743468,0.000743468,0.000743468
36,1141.73,0.82945,0.85031,1.1894,0.87286,0.77111,0.87449,0.69382,0.7962,0.72264,1.23519,0.000729725,0.000729725,0.000729725
37,1173.17,0.78983,0.77043,1.1648,0.78019,0.8932,0.88614,0.68548,0.79563,0.69329,1.22162,0.000715761,0.000715761,0.000715761
38,1205.87,0.77336,0.78361,1.15117,0.80992,0.82372,0.85483,0.67424,0.75067,0.7933,1.22385,0.000701588,0.000701588,0.000701588
39,1237.97,0.80033,0.81303,1.16752,0.84216,0.83577,0.89383,0.70659,0.7857,0.69601,1.22712,0.000687222,0.000687222,0.000687222
40,1270.57,0.77032,0.73401,1.15202,0.81816,0.84985,0.86642,0.6839,0.82643,0.75685,1.27697,0.000672675,0.000672675,0.000672675
41,1302.57,0.78408,0.81784,1.15289,0.81323,0.78938,0.85994,0.67237,0.77641,0.72447,1.25138,0.000657963,0.000657963,0.000657963
42,1334.44,0.75408,0.75558,1.14258,0.85502,0.81803,0.8885,0.69353,0.81479,0.70014,1.24972,0.000643101,0.000643101,0.000643101
43,1365.98,0.75666,0.71643,1.13233,0.84855,0.85678,0.89198,0.71999,0.71774,0.61233,1.20394,0.000628101,0.000628101,0.000628101
