epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.95313,1.15887,4.03583,1.46805,0,0,0,0,0.98918,4.3696,1.41285,0.00041441,0.00041441,0.00041441
2,9.68118,1.29451,2.91553,1.57077,0.39325,0.56902,0.40588,0.21536,1.38963,3.76078,2.0573,0.000834763,0.000834763,0.000834763
3,14.5523,1.43137,2.08575,1.72716,0.825,0.25613,0.48101,0.20674,1.64683,3.14373,2.31213,0.00124663,0.00124663,0.00124663
4,19.3663,1.4611,2.02499,1.70166,0.46131,0.44495,0.41238,0.16319,1.79854,2.35099,2.49464,0.00138656,0.00138656,0.00138656
5,24.1124,1.45386,1.81611,1.71097,0.54561,0.50324,0.49517,0.29136,1.56633,2.59635,2.26247,0.00137241,0.00137241,0.00137241
6,28.8051,1.40009,1.71961,1.69846,0.53643,0.57003,0.54313,0.24741,1.76999,3.07655,2.30191,0.00135826,0.00135826,0.00135826
7,33.357,1.38224,1.66179,1.64969,0.62884,0.6497,0.68169,0.31717,1.52426,2.38947,1.92905,0.00134412,0.00134412,0.00134412
8,39.1297,1.40514,1.76417,1.68632,0.44096,0.68847,0.56477,0.24838,1.82062,2.28436,2.19014,0.00132997,0.00132997,0.00132997
9,44.0379,1.30221,1.56009,1.56582,0.43162,0.69513,0.48503,0.19861,1.61509,2.98193,2.07035,0.00131582,0.00131582,0.00131582
10,48.8054,1.34811,1.50931,1.6128,0.59531,0.64478,0.6094,0.27352,1.5892,1.97026,1.95888,0.00130168,0.00130168,0.00130168
11,53.0116,1.36284,1.48072,1.58997,0.69951,0.63426,0.72158,0.31657,1.67429,1.72803,1.90659,0.00128753,0.00128753,0.00128753
12,57.7206,1.33479,1.44199,1.56346,0.61771,0.76876,0.76164,0.38181,1.57,1.72238,1.94082,0.00127338,0.00127338,0.00127338
13,63.1141,1.33409,1.48556,1.61038,0.64642,0.53519,0.61801,0.2744,1.5809,1.92749,1.97603,0.00125923,0.00125923,0.00125923
14,68.333,1.29182,1.4354,1.57364,0.61369,0.52193,0.55483,0.31327,1.6942,1.86323,2.07631,0.00124509,0.00124509,0.00124509
15,72.8692,1.2311,1.32756,1.50507,0.74716,0.75287,0.7815,0.44183,1.56923,1.5565,1.96837,0.00123094,0.00123094,0.00123094
16,77.2559,1.23223,1.34317,1.49364,0.78533,0.70208,0.78138,0.37024,1.53233,1.77824,1.91259,0.00121679,0.00121679,0.00121679
17,81.9844,1.22268,1.31277,1.48981,0.76512,0.71366,0.77345,0.41403,1.56415,1.44904,1.89798,0.00120265,0.00120265,0.00120265
18,86.886,1.21685,1.29562,1.48448,0.77074,0.69545,0.7635,0.41934,1.48737,1.33638,1.85528,0.0011885,0.0011885,0.0011885
19,91.4837,1.12533,1.27092,1.38939,0.89667,0.70219,0.81562,0.43907,1.46908,1.2884,1.83393,0.00117435,0.00117435,0.00117435
