epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21708,1.01992,1.30108,1.39105,0.67772,0.74242,0.776,0.55339,1.02941,2.3869,1.63144,0.000465748,0.000465748,0.000465748
2,18.7194,1.18235,1.31321,1.50268,0.38748,0.44448,0.38194,0.16,1.99563,2.164,2.63491,0.000941851,0.000941851,0.000941851
3,27.3321,1.27763,1.43008,1.51346,0.33223,0.22749,0.19322,0.06463,2.25078,5.06267,2.87497,0.00141703,0.00141703,0.00141703
4,36.5359,1.42647,1.60131,1.65733,0.30986,0.57259,0.37733,0.17105,1.59444,5.43707,2.25423,0.00142586,0.00142586,0.00142586
5,45.2142,1.40441,1.59069,1.65554,0.0275,0.23931,0.01256,0.00296,2.44307,328.391,4.4836,0.00142342,0.00142342,0.00142342
6,54.1749,1.34649,1.5769,1.61778,0.22818,0.48817,0.21873,0.1004,1.62526,4.2806,2.29403,0.00142029,0.00142029,0.00142029
7,63.1635,1.32912,1.41678,1.55048,0.45524,0.63828,0.48581,0.25222,1.64902,2.24118,2.05818,0.00141647,0.00141647,0.00141647
8,71.7443,1.37571,1.47075,1.59436,0.41817,0.55605,0.44357,0.23102,1.65693,2.32329,1.99123,0.00141196,0.00141196,0.00141196
9,81.0157,1.29377,1.33474,1.5368,0.56944,0.64543,0.6534,0.35259,1.51033,1.62803,1.88972,0.00140678,0.00140678,0.00140678
10,89.6326,1.27676,1.28712,1.53152,0.69055,0.65804,0.67521,0.42248,1.33537,1.48164,1.71385,0.00140091,0.00140091,0.00140091
11,98.84,1.26374,1.37464,1.53048,0.64348,0.6527,0.67778,0.41468,1.20165,1.60549,1.60107,0.00139438,0.00139438,0.00139438
12,107.579,1.20898,1.26458,1.49103,0.72043,0.69919,0.75616,0.45015,1.32774,1.26425,1.71464,0.00138718,0.00138718,0.00138718
13,116.571,1.29465,1.3243,1.5296,0.72859,0.53538,0.69074,0.38043,1.35439,1.51394,1.79339,0.00137933,0.00137933,0.00137933
14,125.653,1.22915,1.32058,1.52232,0.78898,0.69746,0.74138,0.43195,1.45248,1.3156,1.7708,0.00137082,0.00137082,0.00137082
15,134.347,1.2485,1.31922,1.49927,0.75821,0.75845,0.77887,0.48269,1.34047,1.17782,1.62317,0.00136168,0.00136168,0.00136168
16,143.589,1.20729,1.27277,1.48563,0.79566,0.75633,0.78687,0.48989,1.35109,1.18487,1.64115,0.0013519,0.0013519,0.0013519
17,152.079,1.21535,1.23472,1.4927,0.7424,0.73765,0.79239,0.5149,1.27009,1.23963,1.62997,0.0013415,0.0013415,0.0013415
18,161.38,1.21607,1.27283,1.4768,0.8163,0.81616,0.829,0.52195,1.22444,1.23201,1.59576,0.0013305,0.0013305,0.0013305
19,170.168,1.11965,1.17262,1.40359,0.81953,0.72189,0.81645,0.53308,1.11335,1.14668,1.48002,0.00131888,0.00131888,0.00131888
20,179.33,1.11358,1.12983,1.38713,0.76653,0.81293,0.84064,0.51769,1.26994,1.04332,1.66373,0.00130668,0.00130668,0.00130668
21,188.291,1.06264,1.0683,1.37073,0.74828,0.66964,0.70299,0.47125,1.25885,1.27021,1.7402,0.00129391,0.00129391,0.00129391
22,197.198,1.08642,1.15062,1.37732,0.82737,0.80796,0.81055,0.53453,1.15121,1.08587,1.53289,0.00128057,0.00128057,0.00128057
23,206.223,1.0895,1.08296,1.40329,0.72331,0.78484,0.79284,0.51411,1.27411,1.18453,1.62624,0.00126667,0.00126667,0.00126667
24,214.84,1.11631,1.11695,1.43139,0.77491,0.74922,0.81869,0.56552,1.0681,1.20301,1.47112,0.00125224,0.00125224,0.00125224
